post_id,comment_id,name,email,body,name_length,name_word_count,body_length,body_word_count
1,2,quo vero reiciendis velit similique earum,Jayne_Kuhic@sydney.com,"est natus enim nihil est dolore omnis voluptatem numquam
et omnis occaecati quod ullam at
voluptatem error expedita pariatur
nihil sint nostrum voluptatem reiciendis et",41,6,168,25
1,3,odio adipisci rerum aut animi,Nikita@garfield.biz,"quia molestiae reprehenderit quasi aspernatur
aut expedita occaecati aliquam eveniet laudantium
omnis quibusdam delectus saepe quia accusamus maiores nam est
cum et ducimus et vero voluptates excepturi deleniti ratione",29,5,218,29
1,4,alias odio sit,Lew@alysha.tv,"non et atque
occaecati deserunt quas accusantium unde odit nobis qui voluptatem
quia voluptas consequuntur itaque dolor
et qui rerum deleniti ut occaecati",14,3,154,23
2,6,et fugit eligendi deleniti quidem qui sint nihil autem,Presley.Mueller@myrl.com,"doloribus at sed quis culpa deserunt consectetur qui praesentium
accusamus fugiat dicta
voluptatem rerum ut voluptate autem
voluptatem repellendus aspernatur dolorem in",54,9,168,22
2,7,repellat consequatur praesentium vel minus molestias voluptatum,Dallas@ole.me,"maiores sed dolores similique labore et inventore et
quasi temporibus esse sunt id et
eos voluptatem aliquam
aliquid ratione corporis molestiae mollitia quia et magnam dolor",63,7,173,26
2,9,provident id voluptas,Meghan_Littel@rene.us,"sapiente assumenda molestiae atque
adipisci laborum distinctio aperiam et ab ut omnis
et occaecati aspernatur odit sit rem expedita
quas enim ipsam minus",21,3,153,23
2,10,eaque et deleniti atque tenetur ut quo ut,Carmen_Keeling@caroline.name,"voluptate iusto quis nobis reprehenderit ipsum amet nulla
quia quas dolores velit et non
aut quia necessitatibus
nostrum quaerat nulla et accusamus nisi facilis",41,8,160,24
3,11,fugit labore quia mollitia quas deserunt nostrum sunt,Veronica_Goodwin@timmothy.net,"ut dolorum nostrum id quia aut est
fuga est inventore vel eligendi explicabo quis consectetur
aut occaecati repellat id natus quo est
ut blanditiis quia ut vel ut maiores ea",53,8,173,30
4,16,perferendis temporibus delectus optio ea eum ratione dolorum,Christine@ayana.info,"iste ut laborum aliquid velit facere itaque
quo ut soluta dicta voluptate
error tempore aut et
sequi reiciendis dignissimos expedita consequuntur libero sed fugiat facilis",60,8,171,25
4,17,eos est animi quis,Preston_Hudson@blaise.tv,"consequatur necessitatibus totam sed sit dolorum
recusandae quae odio excepturi voluptatum harum voluptas
quisquam sit ad eveniet delectus
doloribus odio qui non labore",18,4,168,23
4,19,sed impedit rerum quia et et inventore unde officiis,Madelynn.Gorczany@darion.biz,"doloribus est illo sed minima aperiam
ut dignissimos accusantium tempore atque et aut molestiae
magni ut accusamus voluptatem quos ut voluptates
quisquam porro sed architecto ut",52,9,177,26
